1372864163|SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1373002285|DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1373076751|SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1374355508|SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1374360691|DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1374399926|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|66.249.75.221|
1378187919|TurnitinBot/2.1 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.86|
1379097986|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|66.249.73.83|
1380901124|TurnitinBot/2.1 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.86|
1381936783|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|66.249.66.221|
1384724785|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|66.249.73.83|
1392215106|Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)|66.249.73.83|
1392273264|TurnitinBot/3.0 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.84|
1394547326|SAMSUNG-SGH-E250/1.0 Profile/MIDP-2.0 Configuration/CLDC-1.1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0 (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.78.27|
1394716192|DoCoMo/2.0 N905i(c100;TB;W24H16) (compatible; Googlebot-Mobile/2.1; +http://www.google.com/bot.html)|66.249.66.221|
1395800838|TurnitinBot/3.0 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.84|
1399364345|TurnitinBot/3.0 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.84|
1404545700|TurnitinBot/3.0 (http://www.turnitin.com/robot/crawlerinfo.html)|38.111.147.84|
